Region,Crop Type,Rainfall (mm),Temperature (°C),Soil pH,Nitrogen (ppm),Sowing Date,Harvest Date,Yield (tons/ha),Soil Type
Rajasthan,Rice,435.7,33.0,6.8,21.5,2023-04-19,2023-11-07,2.8,Sandy
Punjab,Rice,657.4,34.7,7.2,51.7,2023-05-09,2023-09-20,2.2,Clay
Punjab,Rice,751.5,31.8,7.0,28.1,2023-03-20,2023-12-04,5.4,Clay
Haryana,Rice,407.5,30.0,7.2,37.9,2023-05-17,2023-10-28,4.9,Sandy
Haryana,Rice,604.7,15.2,6.0,28.6,2023-04-10,2023-11-06,4.7,Clay
Rajasthan,Maize,264.8,27.7,6.8,21.5,2023-05-04,2023-07-09,2.1,Loamy
Punjab,Wheat,448.3,28.8,6.4,58.0,2023-03-09,2023-10-27,3.6,Clay
Haryana,Wheat,753.3,31.7,6.3,36.8,2023-06-19,2023-12-19,4.3,Clay
Punjab,Rice,272.9,21.2,5.6,45.5,2023-02-07,2023-09-24,3.7,Sandy
Haryana,Rice,255.3,27.7,7.2,57.4,2023-04-28,2023-07-22,2.1,Sandy
Rajasthan,Wheat,207.6,29.5,6.7,44.9,2023-05-16,2023-11-21,4.2,Loamy
Rajasthan,Maize,344.0,34.5,7.0,39.9,2023-01-10,2023-08-10,4.3,Loamy
Punjab,Wheat,401.3,20.9,6.0,43.4,2023-03-06,2023-10-07,2.5,Loamy
Rajasthan,Wheat,430.1,25.0,6.3,57.5,2023-06-25,2023-08-17,4.8,Loamy
Haryana,Rice,781.6,23.3,6.7,43.7,2023-05-24,2023-10-14,1.9,Loamy
Rajasthan,Maize,600.8,18.0,6.4,55.4,2023-06-08,2023-07-09,2.9,Sandy
Rajasthan,Wheat,398.9,23.7,7.3,31.1,2023-03-27,2023-07-28,4.4,Loamy
Rajasthan,Wheat,451.6,19.2,7.4,59.0,2023-06-13,2023-11-05,1.8,Sandy
Rajasthan,Maize,358.2,31.1,7.2,41.2,2023-04-01,2023-09-01,3.8,Loamy
Haryana,Rice,231.3,26.3,5.8,20.2,2023-06-16,2023-11-12,2.1,Clay
Haryana,Maize,446.3,16.5,6.4,21.4,2023-05-06,2023-07-02,4.4,Clay
Rajasthan,Wheat,454.8,25.5,6.0,57.9,2023-02-17,2023-11-17,5.0,Clay
Punjab,Maize,481.8,17.2,6.2,30.5,2023-01-08,2023-09-20,3.5,Sandy
Haryana,Rice,726.5,32.5,7.4,37.6,2023-05-08,2023-09-13,3.3,Sandy
Punjab,Rice,244.9,29.1,6.3,38.3,2023-04-23,2023-08-08,4.9,Sandy
Rajasthan,Wheat,451.0,17.9,7.5,46.8,2023-02-07,2023-08-04,5.2,Sandy
Punjab,Wheat,657.8,30.0,6.9,24.3,2023-02-06,2023-08-22,4.4,Clay
Haryana,Wheat,440.8,26.9,7.4,39.5,2023-06-28,2023-09-04,5.1,Clay
Rajasthan,Maize,644.5,30.5,6.2,24.2,2023-01-07,2023-12-20,3.6,Loamy
Rajasthan,Rice,776.0,21.3,5.9,35.2,2023-04-27,2023-11-24,1.9,Loamy
Rajasthan,Rice,503.7,31.8,5.6,22.2,2023-03-20,2023-11-10,3.4,Clay
Rajasthan,Rice,511.0,22.5,6.9,52.9,2023-05-28,2023-08-10,5.3,Sandy
Haryana,Wheat,293.6,28.7,6.1,54.1,2023-01-15,2023-10-21,3.8,Loamy
Punjab,Maize,626.2,28.2,6.8,41.7,2023-02-02,2023-11-03,4.1,Clay
Haryana,Wheat,362.3,28.4,6.6,56.6,2023-01-06,2023-12-14,2.6,Loamy
Rajasthan,Maize,484.0,28.9,5.7,23.1,2023-04-12,2023-10-02,1.9,Loamy
Rajasthan,Maize,482.3,25.3,7.1,24.6,2023-03-16,2023-10-02,3.4,Loamy
Rajasthan,Wheat,542.8,24.7,7.3,47.5,2023-06-25,2023-07-16,2.8,Loamy
Haryana,Rice,675.7,32.1,6.5,50.9,2023-01-12,2023-11-04,3.8,Loamy
Haryana,Wheat,402.8,28.5,5.7,30.7,2023-01-08,2023-08-13,3.8,Loamy
Punjab,Maize,364.9,23.9,5.9,59.6,2023-03-06,2023-07-01,5.1,Clay
Punjab,Rice,337.4,20.3,5.7,53.8,2023-05-02,2023-08-23,1.5,Loamy
Punjab,Rice,584.6,20.4,7.3,26.1,2023-05-12,2023-09-17,1.7,Loamy
Punjab,Wheat,763.3,33.6,6.6,50.7,2023-06-14,2023-10-23,3.5,Sandy
Haryana,Wheat,533.3,17.2,5.9,54.5,2023-01-14,2023-11-06,3.1,Clay
Punjab,Maize,330.8,22.1,5.9,43.4,2023-05-07,2023-08-22,4.7,Sandy
Punjab,Wheat,611.9,32.0,7.3,33.7,2023-01-23,2023-12-01,3.8,Clay
Haryana,Maize,301.6,20.7,6.1,55.0,2023-06-01,2023-09-28,2.1,Sandy
Haryana,Rice,785.0,21.3,7.4,54.8,2023-01-14,2023-11-08,4.8,Sandy
Haryana,Rice,399.7,31.9,6.2,59.1,2023-03-28,2023-09-24,2.0,Loamy
Punjab,Wheat,613.2,26.9,6.8,58.8,2023-04-15,2023-12-07,3.0,Clay
Punjab,Maize,592.9,30.0,6.0,23.4,2023-02-05,2023-09-23,4.9,Clay
Punjab,Wheat,411.8,34.2,6.1,55.4,2023-02-25,2023-10-17,3.5,Sandy
Rajasthan,Maize,232.8,18.2,7.0,22.3,2023-03-17,2023-10-05,4.6,Loamy
Punjab,Rice,674.8,24.4,5.8,59.3,2023-05-02,2023-09-15,2.3,Sandy
Rajasthan,Rice,581.3,19.6,6.0,56.1,2023-03-05,2023-12-28,2.8,Sandy
Haryana,Wheat,538.5,21.8,7.2,32.1,2023-03-09,2023-08-23,4.9,Sandy
Rajasthan,Wheat,586.6,20.9,6.1,30.7,2023-03-08,2023-07-28,2.0,Sandy
Rajasthan,Rice,610.5,34.2,6.3,37.7,2023-02-20,2023-09-20,3.8,Clay
Haryana,Rice,755.6,25.4,7.2,53.4,2023-03-20,2023-10-16,4.0,Clay
Haryana,Maize,520.9,31.0,5.7,45.2,2023-01-01,2023-08-05,3.0,Clay
Haryana,Rice,440.6,23.6,7.4,37.7,2023-03-08,2023-10-24,3.5,Loamy
Rajasthan,Rice,206.3,34.1,7.4,34.6,2023-01-16,2023-09-06,1.7,Clay
Haryana,Maize,372.4,17.4,6.6,48.2,2023-02-14,2023-07-26,1.5,Loamy
Punjab,Wheat,453.4,24.2,6.6,49.8,2023-02-12,2023-09-14,2.0,Clay
Rajasthan,Rice,318.9,17.4,6.5,42.1,2023-03-13,2023-10-09,1.6,Sandy
Rajasthan,Wheat,416.3,28.0,6.6,44.4,2023-03-09,2023-07-28,3.2,Loamy
Rajasthan,Wheat,704.0,17.0,6.8,22.3,2023-05-27,2023-11-07,5.0,Sandy
Rajasthan,Wheat,655.7,29.8,6.9,43.4,2023-03-19,2023-07-16,5.4,Clay
Punjab,Maize,399.2,25.8,6.4,48.8,2023-06-01,2023-10-24,2.3,Sandy
Rajasthan,Rice,743.4,16.6,6.0,40.9,2023-05-13,2023-10-09,3.3,Sandy
Punjab,Maize,375.3,19.0,6.9,50.5,2023-04-17,2023-08-25,2.3,Loamy
Rajasthan,Wheat,261.0,25.9,6.1,32.6,2023-01-07,2023-10-01,2.5,Clay
Rajasthan,Rice,405.7,16.2,7.4,39.8,2023-03-01,2023-09-17,2.0,Clay
Rajasthan,Maize,734.6,25.8,7.3,21.2,2023-03-01,2023-11-06,2.5,Clay
Haryana,Rice,400.0,17.8,5.6,28.6,2023-01-24,2023-07-12,3.9,Clay
Rajasthan,Wheat,704.6,22.8,5.9,52.8,2023-04-24,2023-12-15,2.6,Loamy
Rajasthan,Rice,627.4,21.9,7.4,53.1,2023-06-13,2023-09-18,3.8,Sandy
Rajasthan,Wheat,428.5,19.6,7.3,38.2,2023-02-07,2023-07-21,1.6,Loamy
