Region,Crop Type,Rainfall (mm),Temperature (°C),Soil pH,Nitrogen (ppm),Sowing Date,Harvest Date,Yield (tons/ha),Soil Type
Aurangabad,Toor,730.7,32.4,6.4,47.1,2023-10-11,2024-02-09,4.62,Clay
Ratnagiri,Rice,911.2,25.6,7.2,64.6,2023-11-10,2024-03-29,4.73,Clay
Latur,Toor,451.2,24.5,6.3,57.9,2023-06-24,2023-10-24,2.17,Clay
Latur,Moong,784.0,21.6,7.5,51.0,2023-07-09,2023-11-26,3.62,Loamy
Nagpur,Bajra,969.2,21.5,7.1,54.6,2023-05-14,2023-09-21,3.88,Sandy
Kolhapur,Toor,764.0,34.1,6.3,44.4,2023-03-22,2023-08-04,4.84,Clay
Nashik,Wheat,474.1,30.2,6.6,53.8,2023-06-11,2023-10-08,2.2,Clay
Aurangabad,Wheat,496.2,33.9,6.9,66.5,2023-01-06,2023-04-23,2.42,Clay
Nagpur,Maize,810.2,21.0,7.2,61.4,2023-01-23,2023-06-11,5.15,Sandy
Kolhapur,Jowar,546.5,22.0,5.5,36.7,2023-07-13,2023-10-31,2.58,Loamy
Satara,Bajra,556.9,23.6,5.6,55.7,2023-01-27,2023-06-15,4.54,Sandy
Pune,Rice,654.6,23.2,6.9,31.9,2023-01-13,2023-05-18,4.79,Laterite
Ratnagiri,Toor,558.7,21.5,5.7,56.5,2023-12-18,2024-04-23,2.18,Clay
Amravati,Rice,1074.7,28.7,6.9,51.3,2023-09-23,2024-01-16,4.59,Clay
Nashik,Rice,725.0,22.3,6.7,44.3,2023-05-09,2023-10-14,2.39,Laterite
Latur,Wheat,929.2,24.7,6.3,60.5,2023-03-26,2023-07-20,3.06,Loamy
Amravati,Maize,536.8,22.5,6.8,43.9,2023-04-07,2023-08-06,4.43,Loamy
Nagpur,Rice,1214.2,20.2,6.0,40.0,2023-10-09,2024-01-29,5.43,Laterite
Aurangabad,Rice,813.7,30.4,7.3,68.4,2023-06-12,2023-10-14,2.81,Laterite
Latur,Maize,795.4,21.6,5.8,61.6,2023-08-20,2024-01-13,4.02,Sandy
Satara,Bajra,405.7,26.7,7.1,31.1,2023-09-19,2024-01-02,2.61,Loamy
Pune,Toor,774.1,32.0,5.8,30.3,2023-11-08,2024-03-31,4.84,Clay
Nagpur,Toor,457.6,22.2,6.4,54.7,2023-03-23,2023-08-16,4.3,Clay
Amravati,Moong,785.0,34.6,6.6,68.9,2023-03-11,2023-06-13,3.78,Loamy
Satara,Bajra,790.1,22.5,6.2,33.5,2023-03-08,2023-07-15,5.26,Sandy
Pune,Jowar,555.9,22.8,6.5,42.6,2023-08-26,2023-11-28,2.31,Sandy
Ratnagiri,Wheat,528.9,20.4,6.5,36.4,2023-05-20,2023-09-07,5.19,Loamy
Aurangabad,Moong,503.1,33.1,7.4,61.9,2023-07-28,2023-12-14,3.42,Loamy
Ratnagiri,Wheat,407.3,29.9,6.1,69.8,2023-06-01,2023-09-25,5.26,Clay
Amravati,Toor,1034.1,34.5,6.1,44.0,2023-05-06,2023-09-23,2.26,Clay
Latur,Bajra,795.6,29.9,6.3,57.8,2023-11-17,2024-02-27,3.94,Loamy
Kolhapur,Rice,632.3,26.9,7.4,62.6,2023-06-10,2023-10-06,4.7,Clay
Nagpur,Jowar,968.9,26.9,6.7,38.0,2023-09-11,2024-02-10,4.35,Loamy
Kolhapur,Moong,988.3,30.8,6.3,35.8,2023-11-11,2024-04-08,4.44,Loamy
Nagpur,Rice,710.2,31.7,7.0,64.2,2023-06-25,2023-10-15,4.67,Laterite
Solapur,Jowar,702.6,22.0,7.3,45.5,2023-05-26,2023-09-27,4.31,Sandy
Solapur,Bajra,755.0,35.0,6.0,48.5,2023-10-02,2024-01-16,5.12,Sandy
Solapur,Maize,758.7,26.3,6.9,61.9,2023-08-16,2023-11-26,4.91,Loamy
Nagpur,Toor,525.3,31.1,6.1,43.4,2023-06-26,2023-11-13,3.3,Clay
Amravati,Moong,733.2,26.7,6.9,58.1,2023-10-01,2024-03-08,4.86,Loamy
Nagpur,Bajra,1099.7,21.7,5.6,31.2,2023-12-09,2024-03-28,3.51,Loamy
Latur,Maize,591.6,26.1,7.2,67.3,2023-12-26,2024-04-13,3.96,Loamy
Ratnagiri,Moong,426.8,22.8,7.2,58.2,2023-11-22,2024-04-22,4.77,Loamy
Satara,Wheat,438.4,28.7,6.5,36.9,2023-08-27,2024-01-04,5.29,Clay
Ratnagiri,Rice,742.6,31.3,6.4,56.0,2023-12-18,2024-03-19,2.85,Laterite
Latur,Wheat,410.9,30.6,7.3,40.6,2023-08-14,2023-11-27,5.46,Loamy
Ratnagiri,Jowar,459.5,20.5,7.2,40.9,2023-01-08,2023-06-06,3.12,Loamy
Satara,Jowar,628.5,29.8,5.9,40.3,2023-06-23,2023-10-19,2.13,Sandy
Nagpur,Maize,1014.9,25.6,5.6,54.7,2023-11-05,2024-03-04,4.85,Loamy
Latur,Bajra,652.6,33.6,5.7,30.5,2023-07-19,2023-12-03,3.81,Loamy
Satara,Wheat,404.6,23.8,7.1,39.0,2023-10-23,2024-02-07,2.34,Clay
Aurangabad,Bajra,890.1,24.7,6.0,47.2,2023-04-17,2023-08-07,4.0,Loamy
Amravati,Moong,1018.9,33.6,6.3,36.4,2023-11-11,2024-04-12,4.65,Loamy
Nagpur,Bajra,748.1,33.3,5.8,68.6,2023-05-08,2023-09-05,4.64,Loamy
Amravati,Jowar,977.4,32.9,6.3,31.7,2023-04-27,2023-08-02,4.41,Loamy
Ratnagiri,Moong,902.0,31.1,7.1,34.5,2023-03-04,2023-07-30,3.02,Sandy
Solapur,Maize,755.7,27.0,6.4,69.5,2023-06-06,2023-10-12,5.46,Sandy
Pune,Wheat,580.0,26.6,7.5,53.4,2023-08-28,2023-12-18,4.24,Loamy
Amravati,Bajra,414.9,23.5,5.5,52.9,2023-11-27,2024-05-04,2.4,Sandy
Ratnagiri,Wheat,758.3,31.6,7.3,43.5,2023-06-04,2023-09-14,2.97,Loamy
Ratnagiri,Toor,665.2,24.6,5.8,51.1,2023-12-22,2024-03-26,3.73,Clay
Pune,Toor,606.9,21.7,5.8,38.8,2023-01-04,2023-05-17,4.07,Loamy
Kolhapur,Rice,1277.7,27.8,5.9,66.6,2023-12-20,2024-03-29,2.51,Clay
Amravati,Moong,418.3,34.6,5.7,35.4,2023-07-13,2023-10-19,3.0,Loamy
Ratnagiri,Toor,1087.9,33.5,7.0,60.9,2023-04-28,2023-09-05,2.38,Loamy
Pune,Bajra,1041.2,30.5,5.8,60.7,2023-07-07,2023-12-07,3.67,Sandy
Amravati,Rice,1023.3,30.9,5.5,38.0,2023-01-23,2023-06-10,2.75,Laterite
Aurangabad,Bajra,858.8,30.6,7.4,35.9,2023-07-17,2023-10-21,4.6,Sandy
Pune,Toor,626.5,25.6,6.2,56.8,2023-07-10,2023-11-01,4.6,Loamy
Ratnagiri,Moong,931.5,22.4,7.3,35.3,2023-11-05,2024-03-12,2.31,Loamy
Latur,Jowar,554.0,32.3,7.5,34.1,2023-07-09,2023-11-20,3.23,Loamy
Satara,Moong,675.7,33.3,6.9,68.3,2023-08-13,2024-01-20,2.31,Sandy
Amravati,Bajra,714.4,32.6,6.2,54.0,2023-01-03,2023-05-14,5.05,Loamy
Nashik,Moong,453.4,33.4,5.6,57.0,2023-08-27,2023-12-23,3.56,Sandy
Aurangabad,Maize,433.4,28.3,6.9,41.0,2023-06-11,2023-10-03,2.81,Loamy
Pune,Jowar,1014.9,31.9,6.3,60.0,2023-07-20,2023-10-23,3.93,Sandy
Kolhapur,Toor,910.4,28.1,5.9,61.3,2023-11-04,2024-02-18,2.26,Loamy
Solapur,Rice,742.9,29.7,5.8,49.2,2023-04-09,2023-07-13,4.11,Clay
Aurangabad,Bajra,1062.5,33.2,6.1,37.0,2023-04-05,2023-07-15,4.54,Sandy
Nagpur,Wheat,1037.6,23.2,5.9,33.6,2023-11-22,2024-03-04,3.21,Loamy
Solapur,Moong,415.1,21.2,7.5,31.2,2023-11-06,2024-03-31,3.51,Sandy
Nagpur,Toor,631.8,28.8,6.1,46.6,2023-02-04,2023-06-19,2.09,Clay
Nagpur,Rice,681.7,28.5,7.0,62.2,2023-10-04,2024-01-16,3.7,Clay
Nagpur,Maize,489.5,27.1,6.4,56.8,2023-02-21,2023-07-09,3.77,Loamy
Aurangabad,Rice,1384.9,31.1,5.7,51.7,2023-09-01,2024-01-01,4.71,Laterite
Nagpur,Rice,1379.5,20.8,7.4,41.2,2023-11-01,2024-03-27,3.49,Laterite
Amravati,Moong,651.9,22.8,5.6,40.2,2023-01-21,2023-05-09,3.85,Loamy
Ratnagiri,Wheat,581.0,28.1,5.7,61.8,2023-04-05,2023-08-13,2.46,Loamy
Aurangabad,Bajra,505.9,30.2,7.1,65.9,2023-03-22,2023-07-22,4.63,Sandy
Satara,Jowar,687.3,31.7,7.4,52.2,2023-10-13,2024-03-14,2.8,Sandy
Pune,Moong,557.3,20.3,6.1,35.8,2023-06-01,2023-11-08,5.1,Sandy
Aurangabad,Bajra,689.7,34.8,7.3,45.9,2023-09-01,2024-01-01,5.48,Loamy
Latur,Wheat,916.9,26.1,6.9,47.8,2023-04-25,2023-08-18,3.25,Clay
Solapur,Moong,790.8,26.5,6.4,54.0,2023-06-16,2023-09-18,3.76,Sandy
Pune,Toor,1034.8,25.7,6.9,50.6,2023-04-25,2023-09-14,2.3,Clay
Latur,Bajra,884.6,25.2,5.7,31.8,2023-01-20,2023-05-06,5.28,Sandy
Latur,Toor,863.7,22.0,7.3,34.6,2023-05-28,2023-09-16,3.79,Loamy
Solapur,Rice,1022.3,26.4,6.5,62.9,2023-03-06,2023-07-20,3.9,Clay
Amravati,Moong,613.7,29.7,7.5,50.8,2023-12-02,2024-03-27,3.21,Sandy
Nagpur,Rice,761.2,26.2,7.4,36.3,2023-02-22,2023-07-22,3.06,Clay
Nashik,Maize,657.6,33.8,5.6,34.5,2023-08-25,2024-01-22,4.12,Sandy
Ratnagiri,Jowar,674.3,31.2,5.8,46.6,2023-10-02,2024-01-09,4.42,Loamy
Solapur,Bajra,884.2,30.2,5.6,61.6,2023-07-15,2023-11-15,3.95,Sandy
Amravati,Wheat,490.4,23.3,6.4,55.3,2023-05-13,2023-10-12,2.81,Clay
Pune,Jowar,703.5,20.2,5.8,42.9,2023-04-17,2023-08-24,2.14,Loamy
Nagpur,Wheat,839.1,23.7,6.6,64.3,2023-08-21,2024-01-07,3.54,Clay
Amravati,Wheat,845.1,27.3,6.0,41.1,2023-12-19,2024-05-03,3.03,Loamy
Kolhapur,Jowar,661.0,25.0,7.4,58.8,2023-05-16,2023-09-30,2.3,Loamy
Ratnagiri,Bajra,1062.5,23.9,6.5,39.5,2023-11-27,2024-03-18,3.66,Loamy
Amravati,Bajra,625.6,24.0,6.8,33.1,2023-10-10,2024-02-12,3.6,Loamy
Pune,Moong,1040.9,27.9,7.1,39.5,2023-10-28,2024-03-08,4.03,Loamy
Kolhapur,Toor,818.6,31.8,5.7,62.9,2023-11-01,2024-02-26,2.68,Loamy
Latur,Maize,610.0,23.9,7.0,53.2,2023-12-12,2024-04-18,4.64,Sandy
Amravati,Wheat,1069.9,21.4,7.0,53.7,2023-10-27,2024-02-07,4.28,Loamy
Ratnagiri,Rice,1224.0,31.2,6.3,63.9,2023-06-17,2023-10-31,4.27,Clay
Latur,Maize,474.3,28.2,6.5,33.0,2023-06-06,2023-11-09,3.4,Loamy
Ratnagiri,Jowar,1095.8,29.3,6.2,57.3,2023-07-02,2023-10-07,4.51,Sandy
Amravati,Moong,901.6,23.3,5.7,68.8,2023-02-23,2023-06-10,5.35,Sandy
Solapur,Bajra,776.2,24.5,6.3,37.5,2023-09-16,2023-12-20,2.3,Loamy
Nashik,Moong,423.0,26.5,6.7,66.2,2023-09-23,2024-02-08,4.43,Loamy
Kolhapur,Wheat,733.8,33.2,7.4,33.6,2023-05-26,2023-09-22,4.71,Loamy
Nagpur,Jowar,628.1,29.9,6.3,65.7,2023-10-08,2024-02-28,2.21,Sandy
Kolhapur,Wheat,581.1,24.4,7.5,69.9,2023-11-08,2024-04-12,4.44,Clay
Ratnagiri,Toor,607.2,29.5,6.8,37.6,2023-03-17,2023-08-24,5.05,Clay
Amravati,Wheat,406.8,28.6,5.6,34.3,2023-02-05,2023-06-03,2.05,Loamy
Nashik,Toor,580.4,33.1,7.4,66.4,2023-08-18,2023-11-16,3.37,Clay
Pune,Bajra,902.7,20.3,7.1,38.2,2023-08-19,2023-12-25,5.45,Sandy
Satara,Maize,998.6,28.2,6.2,65.0,2023-06-26,2023-10-26,3.97,Sandy
Aurangabad,Jowar,704.4,31.9,5.8,36.5,2023-03-28,2023-07-05,4.47,Loamy
Nashik,Maize,855.3,25.9,6.0,34.4,2023-05-21,2023-09-03,5.31,Sandy
Kolhapur,Maize,790.6,34.0,6.3,50.3,2023-12-14,2024-05-10,4.88,Loamy
Solapur,Jowar,705.1,24.8,7.0,62.7,2023-12-09,2024-04-27,4.11,Loamy
Latur,Rice,1347.2,23.1,6.3,66.6,2023-03-08,2023-07-16,2.54,Clay
Solapur,Bajra,844.7,26.7,6.8,46.3,2023-01-21,2023-04-22,4.64,Sandy
Latur,Jowar,500.9,31.5,6.9,44.2,2023-08-24,2023-12-30,3.35,Sandy
Latur,Toor,890.0,22.4,7.1,56.2,2023-01-07,2023-05-01,4.46,Loamy
Aurangabad,Maize,1062.5,33.7,6.9,40.5,2023-04-01,2023-08-28,4.95,Sandy
Ratnagiri,Wheat,462.1,25.8,6.2,38.1,2023-07-12,2023-10-25,4.41,Clay
Satara,Toor,545.7,31.6,6.0,67.1,2023-04-19,2023-08-29,5.02,Loamy
Pune,Toor,1091.1,24.3,6.5,32.3,2023-10-14,2024-03-14,3.77,Clay
Ratnagiri,Bajra,902.3,27.2,5.5,52.5,2023-07-08,2023-11-15,5.03,Sandy
Kolhapur,Maize,450.6,24.2,6.7,57.8,2023-05-26,2023-09-07,3.88,Loamy
Pune,Bajra,872.4,29.1,7.3,57.0,2023-02-15,2023-07-12,3.85,Loamy
Ratnagiri,Maize,711.6,22.8,6.6,33.3,2023-12-15,2024-05-03,5.35,Sandy
Pune,Toor,685.4,26.1,5.6,48.1,2023-12-06,2024-04-04,4.19,Loamy
Ratnagiri,Wheat,709.6,31.0,6.3,44.6,2023-11-19,2024-03-15,5.27,Clay
Latur,Toor,963.3,28.1,5.8,55.2,2023-12-17,2024-03-25,4.52,Loamy
Amravati,Moong,774.9,32.6,6.5,36.5,2023-03-20,2023-07-13,4.8,Sandy
Amravati,Maize,1010.4,20.0,7.4,62.6,2023-04-01,2023-07-22,4.13,Loamy
Ratnagiri,Wheat,487.8,34.3,6.8,45.9,2023-11-09,2024-02-29,5.05,Loamy
Nashik,Bajra,449.7,22.1,6.7,50.0,2023-10-03,2024-02-18,4.83,Loamy
Ratnagiri,Maize,1039.6,23.0,7.0,51.7,2023-01-03,2023-04-07,4.4,Sandy
Latur,Toor,565.2,30.6,7.1,60.7,2023-09-08,2024-01-21,2.1,Clay
Aurangabad,Bajra,1045.5,25.6,6.7,39.9,2023-07-28,2023-11-19,2.26,Loamy
Solapur,Jowar,1006.4,26.6,6.6,69.8,2023-07-21,2023-11-10,3.03,Sandy
Latur,Wheat,532.9,20.4,6.6,62.7,2023-02-23,2023-05-31,2.54,Clay
Aurangabad,Rice,1237.5,27.1,5.9,47.9,2023-07-07,2023-11-03,3.44,Laterite
